1,4697,-2265,-1685
2,4417,-1887,-1669
3,4165,-1552,-1676
4,3884,-1274,-1647
5,3569,-1022,-1596
6,3226,-804,-1531
7,2897,-574,-1452
8,2607,-315,-1344
9,2356,-76,-1236
10,2069,185,-1098
11,1791,395,-963
12,1560,585,-834
13,1358,754,-713
14,1158,894,-628
15,990,1018,-546
16,842,1119,-491
17,731,1181,-492
18,639,1259,-503
19,549,1336,-498
20,479,1406,-533
21,415,1484,-577
22,320,1558,-660
23,232,1630,-755
24,153,1702,-845
25,108,1784,-912
26,88,1890,-967
27,70,1991,-1050
28,13,2062,-1088
29,-82,2152,-1113
30,-161,2235,-1097
31,-116,2322,-1091
32,-7,2405,-1066
33,105,2439,-1011
34,239,2429,-935
35,398,2394,-877
36,464,2306,-793
37,432,2210,-669
38,424,2114,-603
39,409,2062,-555
40,409,2062,-555
41,457,1969,-536
42,566,1853,-516
43,698,1733,-514
44,824,1598,-551
45,935,1454,-617
46,1057,1326,-669
47,1238,1233,-724
48,1400,1108,-816
49,1562,946,-900
50,1682,836,-956
51,1847,683,-1014
52,2126,564,-1125
53,2504,425,-1340
54,3023,199,-1592
55,3609,-45,-1886
56,4083,-423,-2182
57,4443,-747,-2487
58,4812,-1034,-2790
59,5154,-1330,-3110
60,5481,-1629,-3407
61,5820,-1938,-3727
62,5937,-2346,-3981
63,5978,-2761,-4275
64,6068,-3274,-4553
65,6129,-3808,-4665
66,6130,-4222,-4661
67,6058,-4500,-4604
68,5932,-4593,-4484
69,5833,-4575,-4308
70,5721,-4544,-4135
71,5590,-4459,-3975
72,5426,-4303,-3824
73,5254,-4176,-3700
74,5063,-4060,-3556
75,4845,-3929,-3366
76,4604,-3831,-3189
77,4346,-3745,-3011
78,4038,-3632,-2812
79,3730,-3485,-2617
80,3453,-3326,-2438
81,3211,-3179,-2259
82,2998,-3043,-2071
83,2764,-2891,-1870
84,2540,-2738,-1676
85,2336,-2592,-1444
86,2142,-2438,-1203
87,1962,-2309,-984
88,1790,-2197,-765
89,1601,-2098,-562
90,1421,-2027,-408
91,1248,-1976,-260
92,1073,-1943,-104
93,904,-1929,34
94,736,-1905,181
95,560,-1915,357
96,387,-1919,546
97,207,-1894,767
98,64,-1858,1004
99,-31,-1799,1217
100,-233,-1745,1375
101,-543,-1734,1544
102,-802,-1716,1760
103,-996,-1684,1959
104,-1142,-1633,2149
105,-1314,-1607,2338
106,-1499,-1591,2454
107,-1647,-1579,2484
108,-1786,-1593,2484
109,-1786,-1593,2484
110,-1825,-1584,2552
111,-1818,-1584,2556
112,-1904,-1638,2492
113,-1985,-1692,2403
114,-1990,-1763,2246
115,-1882,-1837,2157
116,-1739,-1947,2042
117,-1615,-2113,1901
118,-1504,-2291,1771
119,-1386,-2443,1666
120,-1301,-2576,1618
121,-1246,-2672,1607
122,-1187,-2738,1619
123,-1103,-2805,1641
124,-983,-2875,1726
125,-814,-2956,1969
126,-531,-3077,2117
127,-199,-3168,2173
128,39,-3200,2232
129,159,-3273,2116
130,235,-3360,1945
131,496,-3542,1762
132,1022,-3837,1504
133,1662,-4244,1191
134,2322,-4726,776
135,3106,-5272,166
136,3949,-5716,-352
137,4117,-6025,-1112
138,3325,-6433,-1855
139,2977,-6851,-2285
140,3936,-7118,-2554
141,5101,-7404,-2706
142,5835,-7627,-2848
143,6325,-7720,-3037
144,6811,-7679,-3271
145,7251,-7528,-3517
146,7575,-7247,-3776
147,7679,-6856,-4043
148,7539,-6425,-4282
149,7223,-5989,-4465
150,6811,-5552,-4542
151,6429,-5101,-4519
152,6108,-4598,-4403
153,5813,-4071,-4213
154,5486,-3577,-3978
155,5206,-3126,-3752
156,4933,-2675,-3552
157,4628,-2303,-3390
158,4276,-1982,-3266
159,3954,-1684,-3151
160,3666,-1427,-3054
161,3394,-1213,-2964
162,3129,-1029,-2871
163,2913,-846,-2736
164,2709,-642,-2580
165,2504,-443,-2424
166,2310,-239,-2278
167,2108,-36,-2141
168,1887,148,-2036
169,1661,323,-1939
170,1449,519,-1856
171,1222,675,-1766
172,1015,801,-1727
173,861,935,-1713
174,755,1082,-1707
175,630,1235,-1664
176,475,1396,-1641
177,350,1580,-1647
178,350,1580,-1647
179,265,1779,-1617
180,182,1986,-1604
181,61,2187,-1587
182,-75,2400,-1563
183,-212,2611,-1538
184,-333,2809,-1503
185,-408,2954,-1406
186,-411,3119,-1279
187,-398,3232,-1224
188,-323,3235,-1135
189,-253,3221,-1048
190,-262,3178,-961
191,-250,3136,-885
192,-199,3101,-793
193,-106,3025,-720
194,-60,2925,-672
195,-39,2823,-638
196,-8,2739,-637
197,81,2636,-669
198,193,2487,-730
199,275,2319,-730
200,375,2197,-765
201,521,2094,-796
202,698,1953,-859
203,840,1797,-892
204,952,1676,-857
205,1130,1542,-819
206,1426,1436,-848
207,1726,1313,-841
208,2100,1202,-994
209,2507,1066,-1278
210,2954,836,-1641
211,3400,524,-2098
212,3707,189,-2544
213,3995,-128,-2995
214,4316,-428,-3456
215,4686,-626,-3897
216,5074,-891,-4268
217,5426,-1152,-4565
218,5870,-1401,-4927
219,6333,-1710,-5349
220,6646,-2146,-5787
221,7017,-2747,-6329
222,7337,-3473,-6753
223,7486,-4207,-7031
224,7504,-4735,-7124
225,7248,-5131,-7008
226,6898,-5401,-6747
227,6520,-5476,-6385
228,6125,-5438,-5982
229,5726,-5262,-5558
230,5307,-4999,-5135
231,4882,-4669,-4784
