Timestamp, ax, ay, az
254,1565,1313,-16064
255,1413,812,-16368
256,3175,821,-15447
257,3173,1354,-15551
258,2315,819,-16218
259,1729,174,-16381
260,2029,47,-16189
261,2803,369,-16427
262,3032,522,-16913
263,2324,496,-17295
264,1504,443,-17355
265,1394,453,-17265
266,1659,663,-17266
267,1598,862,-17132
268,1149,738,-17055
269,842,752,-16594
270,172,702,-16249
271,247,731,-16436
272,438,536,-16338
273,710,455,-16381
274,884,390,-16615
275,853,174,-16582
276,959,-81,-16626
277,1091,-232,-16560
278,1091,-170,-16485
279,1065,18,-16559
280,1208,5,-16608
281,1260,1,-16558
282,1245,223,-16585
283,1133,496,-16764
284,1088,832,-16849
285,1047,1232,-16938
286,962,1623,-16982
287,823,1793,-16872
288,879,1720,-16864
289,1433,1727,-16843
290,2046,1883,-16504
291,1985,2045,-16283
292,1551,1922,-16300
293,1352,1761,-16239
294,1758,1686,-16090
295,2200,1545,-15946
296,2172,1520,-16057
297,1959,1468,-16291
298,1885,1361,-16548
299,2104,896,-16343
300,2027,234,-16585
301,1966,-26,-16989
302,1984,270,-17252
303,1171,105,-16966
304,-200,-697,-16893
305,246,-847,-17119
306,1793,-906,-16701
307,2158,-972,-16367
308,1150,-656,-16357
309,283,-963,-15841
310,-34,-1189,-15185
311,723,-1308,-15358
312,1913,-1417,-15367
313,2458,-1602,-15099
314,2102,-1977,-14880
315,2136,-2247,-14576
316,1995,-2337,-14327
317,1238,-2376,-14395
318,743,-2504,-14390
319,1705,-2630,-14021
320,2342,-2555,-14357
321,1878,-2348,-15858
322,1656,-2403,-16279
323,1364,-2705,-15970
324,1263,-3120,-16409
325,1932,-3183,-16838
326,3159,-2814,-16780
327,3351,-2522,-16614
328,2592,-2236,-16687
329,2333,-1972,-16718
330,2677,-1677,-16586
331,2613,-1835,-16273
332,2184,-1967,-16418
333,1715,-1905,-16372
334,1299,-1742,-16289
335,1291,-1584,-16068
336,1741,-1465,-15737
337,2239,-1189,-15940
338,2430,-1156,-16061
339,2206,-1160,-16232
340,2263,-1243,-16386
341,2195,-1440,-16250
342,1924,-1283,-16155
343,1666,-1163,-16082
344,1500,-1115,-15928
345,1019,-1358,-15953
346,945,-1735,-16175
347,1213,-2375,-16368
348,1535,-2865,-16180
349,1042,-3220,-16175
350,84,-3052,-16260
351,-1080,-3126,-16279
352,-1190,-3319,-16210
353,-107,-3689,-15251
354,-1,-3638,-14992
355,393,-3279,-15993
356,2152,-3169,-16049
357,2513,-3203,-15697
358,2185,-3023,-15860
359,1688,-2732,-16599
360,2011,-2361,-16816
361,2806,-1622,-16666
362,3613,-1033,-16466
363,3452,-725,-16175
364,3145,-371,-16038
365,2176,-101,-15948
366,541,60,-15875
367,-718,273,-15774
368,290,1159,-15444
369,1668,1985,-15254
370,663,1858,-15279
371,-756,1578,-15520
372,-185,1747,-15741
373,1091,1983,-15710
374,1303,1929,-15610
375,470,1871,-15559
376,75,1724,-15782
377,630,1718,-16332
378,1695,2031,-16695
379,2356,2191,-16804
380,1357,1914,-16902
381,639,1440,-17622
382,1290,1136,-17320
383,1756,1357,-16868
384,999,1680,-16739
385,70,1580,-16744
386,325,1695,-16837
387,931,1786,-16727
388,1507,1718,-16389
389,1368,1654,-16137
390,896,1490,-16161
391,848,1498,-16437
392,1572,1432,-16385
393,1850,1337,-16264
394,1786,1308,-16411
395,1407,1167,-16473
396,1444,1037,-16572
397,1486,951,-16692
398,1247,1162,-16722
399,1295,1909,-16753
400,1175,2426,-16690
401,581,2670,-16779
402,728,2834,-16847
403,1155,2951,-16774
404,1235,3313,-16792
405,1509,3593,-16911
406,1744,3276,-16740
407,2014,2887,-16421
408,2040,2690,-16222
409,1914,2720,-16488
410,1463,2283,-16606
411,967,1729,-16707
412,721,1291,-16479
413,594,635,-15989
414,1131,439,-16087
415,1563,353,-16128
416,1381,12,-15906
417,1305,-533,-15599
418,883,-670,-15567
419,929,-420,-15995
420,1388,-682,-16283
421,1917,-1394,-16318
422,1226,-2182,-16086
