1,2106,353,435
2,2129,343,438
3,2123,336,436
4,2049,350,428
5,1963,374,428
6,1920,382,402
7,1879,373,363
8,1825,345,335
9,1775,328,317
10,1782,338,281
11,1769,342,255
12,1758,351,251
13,1769,344,236
14,1763,353,183
15,1736,384,144
16,1725,392,111
17,1735,390,89
18,1747,389,90
19,1790,382,62
20,1813,366,45
21,1808,352,23
22,1756,345,-24
23,1683,332,-55
24,1661,318,-86
25,1728,307,-98
26,1858,303,-78
27,2002,308,-35
28,2087,327,15
29,2135,361,87
30,2165,397,126
31,2143,417,129
32,2080,461,123
33,2029,489,148
34,2014,524,180
35,2014,524,180
36,2016,541,187
37,2001,551,186
38,1975,558,164
39,1927,533,127
40,1862,512,54
41,1790,495,-6
42,1755,475,-39
43,1789,460,-55
44,1825,453,-73
45,1831,461,-90
46,1822,472,-97
47,1814,474,-109
48,1822,456,-114
49,1838,464,-119
50,1856,471,-109
51,1887,471,-101
52,1919,482,-113
53,1924,494,-107
54,1940,510,-97
55,1979,525,-88
56,2024,537,-86
57,2033,552,-94
58,2030,564,-107
59,2018,578,-121
60,2006,578,-138
61,1995,581,-149
62,2000,583,-166
63,1998,591,-187
64,2011,591,-183
65,2046,586,-185
66,2081,577,-204
67,2104,564,-212
68,2118,555,-212
69,2132,529,-220
70,2128,514,-246
71,2126,497,-262
72,2123,477,-271
73,2141,460,-270
74,2174,443,-274
75,2198,429,-275
76,2204,434,-289
77,2207,445,-304
78,2215,446,-313
79,2223,457,-316
80,2225,481,-307
81,2251,503,-299
82,2310,532,-300
83,2373,541,-293
84,2420,520,-286
85,2431,504,-288
86,2415,488,-285
87,2414,474,-280
88,2435,461,-270
89,2449,452,-268
90,2461,434,-258
91,2472,425,-249
92,2502,415,-231
93,2536,399,-238
94,2545,367,-244
95,2543,332,-243
96,2519,314,-257
97,2470,284,-268
98,2389,261,-277
99,2300,240,-285
100,2198,217,-315
101,2110,206,-344
102,2050,188,-365
103,1990,178,-368
104,1990,178,-368
105,1943,178,-374
106,1910,186,-374
107,1887,195,-364
108,1855,209,-351
109,1813,228,-335
110,1796,234,-322
111,1786,256,-342
112,1781,272,-322
113,1786,287,-329
114,1822,297,-334
115,1849,301,-326
116,1880,288,-309
117,1912,274,-302
118,1920,271,-314
119,1896,264,-313
120,1870,255,-297
121,1898,234,-275
122,1957,221,-271
123,2031,189,-270
124,2102,160,-257
125,2126,141,-243
126,2125,133,-239
127,2110,115,-223
128,2090,103,-217
129,2077,91,-213
130,2040,83,-205
131,2001,97,-220
132,1940,108,-226
133,1888,125,-201
134,1871,147,-198
135,1850,164,-213
136,1794,184,-225
137,1748,206,-237
138,1746,223,-219
139,1753,239,-189
140,1775,265,-157
141,1784,289,-123
142,1804,312,-106
143,1813,326,-103
144,1823,336,-106
145,1807,345,-123
146,1800,347,-135
147,1782,333,-164
148,1768,319,-225
149,1746,313,-242
150,1767,327,-237
151,1832,344,-240
152,1867,358,-239
153,1865,376,-237
154,1854,394,-234
155,1836,431,-226
156,1819,443,-223
157,1801,451,-240
158,1795,467,-234
159,1798,480,-221
160,1835,493,-204
161,1858,495,-211
162,1843,476,-214
163,1789,464,-236
164,1752,466,-247
165,1750,463,-257
166,1800,466,-262
167,1847,467,-257
168,1876,460,-263
169,1878,461,-284
170,1855,465,-310
171,1846,483,-324
172,1858,493,-342
173,1861,507,-335
174,1861,507,-335
175,1876,526,-334
176,1891,548,-344
